State,Calculated_GeV,Exp_GeV,Abs_Err_MeV,Pct_Err
(1^1S) B_c,6.290223589693704,6.2749,15.323589693704065,0.24420452427455522
(1^3S) B_c^*,6.328504452164756,6.33,-1.495547835244082,0.023626348108121357
(2^1S) B_c,6.883707548943524,6.871,12.707548943523328,0.1849446797194488
(2^3S) B_c^*,6.900859243769283,6.893,7.85924376928282,0.11401775379780678
(3^1S) B_c,7.29075641866678,N/A,N/A,N/A
(3^3S) B_c^*,7.302864080178777,N/A,N/A,N/A
(1^1P) B_{c1},6.749626339882476,N/A,N/A,N/A
"(1^3P_0) B_{c0,1,2}^*",6.695773283039482,N/A,N/A,N/A
"(1^3P_1) B_{c0,1,2}^*",6.748380988443099,N/A,N/A,N/A
"(1^3P_2) B_{c0,1,2}^*",6.761144162114701,N/A,N/A,N/A
(2^1P) B_{c1},7.169734501069587,N/A,N/A,N/A
"(2^3P_0) B_{c0,1,2}^*",7.118659808547949,N/A,N/A,N/A
"(2^3P_1) B_{c0,1,2}^*",7.167240824219458,N/A,N/A,N/A
"(2^3P_2) B_{c0,1,2}^*",7.181445645683992,N/A,N/A,N/A
(3^1P) B_{c1},7.519295735238879,N/A,N/A,N/A
"(3^3P_0) B_{c0,1,2}^*",7.469324323693138,N/A,N/A,N/A
"(3^3P_1) B_{c0,1,2}^*",7.516115814130907,N/A,N/A,N/A
"(3^3P_2) B_{c0,1,2}^*",7.53119797021281,N/A,N/A,N/A
(1^1D) B_{c2},7.023905785990639,N/A,N/A,N/A
"(1^3D_1) B_{c1,2,3}^*",7.022876987181143,N/A,N/A,N/A
"(1^3D_2) B_{c1,2,3}^*",7.028030555327716,N/A,N/A,N/A
"(1^3D_3) B_{c1,2,3}^*",7.0214004359539395,N/A,N/A,N/A
(2^1D) B_{c2},7.386966708887112,N/A,N/A,N/A
"(2^3D_1) B_{c1,2,3}^*",7.383320314443382,N/A,N/A,N/A
"(2^3D_2) B_{c1,2,3}^*",7.390036001865038,N/A,N/A,N/A
"(2^3D_3) B_{c1,2,3}^*",7.386337097235906,N/A,N/A,N/A
(3^1D) B_{c2},7.706342622670257,N/A,N/A,N/A
"(3^3D_1) B_{c1,2,3}^*",7.701024477077572,N/A,N/A,N/A
"(3^3D_2) B_{c1,2,3}^*",7.708748807201293,N/A,N/A,N/A
"(3^3D_3) B_{c1,2,3}^*",7.70690312468781,N/A,N/A,N/A
