State,Calculated_GeV,Exp_GeV,Abs_Err_MeV,Pct_Err
(1^1S) η_b,9.43151611144233,9.3987,32.81611144232954,0.34915585604742727
(1^3S) Υ_b,9.458286238563625,9.4603,-2.0137614363751055,0.021286443731965216
(2^1S) η_b,10.002317146170824,N/A,N/A,N/A
(2^3S) Υ,10.010854636179962,10.0233,-12.44536382003858,0.1241643352991388
(3^1S) η_b,10.355667007106318,N/A,N/A,N/A
(3^3S) Υ,10.361236535676886,N/A,N/A,N/A
(1^1P) h_b,9.901069423506689,9.8993,1.7694235066887387,0.017874228548369467
(1^3P_0) χ_b,9.855686634986808,9.8594,-3.7133650131924156,0.03766319464868466
(1^3P_1) χ_b,9.898649907933823,9.8928,5.849907933823673,0.05913298493675878
(1^3P_2) χ_b,9.911597690554386,9.9122,-0.6023094456146794,0.006076445648944526
(2^1P) h_b,10.263455813660785,N/A,N/A,N/A
(2^3P_0) χ_b,10.224403327651055,N/A,N/A,N/A
(2^3P_1) χ_b,10.261111863396133,N/A,N/A,N/A
(2^3P_2) χ_b,10.272672681021524,N/A,N/A,N/A
(3^1P) h_b,10.55789310423387,N/A,N/A,N/A
(3^3P_0) χ_b,10.521539904472563,N/A,N/A,N/A
(3^3P_1) χ_b,10.555548898649315,N/A,N/A,N/A
(3^3P_2) χ_b,10.566570267536862,N/A,N/A,N/A
(1^1D) η_b2,10.149009943156885,N/A,N/A,N/A
(1^3D_1) Υ,10.141479983631074,N/A,N/A,N/A
(1^3D_2) Υ,10.149654036282508,N/A,N/A,N/A
(1^3D_3) Υ,10.151777002149645,N/A,N/A,N/A
(2^1D) η_b2,10.453958572972176,N/A,N/A,N/A
(2^3D_1) Υ,10.446255363688016,N/A,N/A,N/A
(2^3D_2) Υ,10.454352359665643,N/A,N/A,N/A
(2^3D_3) Υ,10.456978672170054,N/A,N/A,N/A
(3^1D) η_b2,10.719547388157142,N/A,N/A,N/A
(3^3D_1) Υ,10.711707409464896,N/A,N/A,N/A
(3^3D_2) Υ,10.719785876844723,N/A,N/A,N/A
(3^3D_3) Υ,10.72273702996269,N/A,N/A,N/A
