State,Calculated_GeV,Exp_GeV,Abs_Err_MeV,Pct_Err
(1^1S) η_c,3.0209685459590476,2.9839,37.068545959047405,1.242285128826281
(1^3S) J/ψ,3.0900308441842577,3.0969,-6.869155815742545,0.2218074789545205
(2^1S) η_c,3.659422980830759,3.6375,21.92298083075883,0.6026936310861535
(2^3S) ψ,3.695173391248676,3.6861,9.07339124867601,0.24615152189783268
(3^1S) η_c,4.114635878824312,N/A,N/A,N/A
(3^3S) ψ,4.1408765232559315,N/A,N/A,N/A
(1^1P) h_c,3.508821437563198,3.5254,-16.578562436802002,0.4702604651047258
(1^3P_0) χ_c,3.4177310543050794,N/A,N/A,N/A
(1^3P_1) χ_c,3.5118152582200257,N/A,N/A,N/A
(1^3P_2) χ_c,3.5252432218207246,3.5562,-30.956778179275446,0.8705016078756945
(2^1P) h_c,3.9779431073810003,N/A,N/A,N/A
(2^3P_0) χ_c,3.8893258601541536,N/A,N/A,N/A
(2^3P_1) χ_c,3.9783854680798094,N/A,N/A,N/A
(2^3P_2) χ_c,3.995401140407084,N/A,N/A,N/A
(3^1P) h_c,4.37263192888617,N/A,N/A,N/A
(3^3P_0) χ_c,4.284913799588909,N/A,N/A,N/A
(3^3P_1) χ_c,4.371695128595086,N/A,N/A,N/A
(3^3P_2) χ_c,4.3907376349202725,N/A,N/A,N/A
(1^1D) η_c2,3.807563954240566,N/A,N/A,N/A
(1^3D_1) ψ,3.8034376657914564,N/A,N/A,N/A
(1^3D_2) ψ,3.8151243162582866,N/A,N/A,N/A
(1^3D_3) ψ,3.803932104991813,N/A,N/A,N/A
(2^1D) η_c2,4.218009992569302,N/A,N/A,N/A
(2^3D_1) ψ,4.209718369908524,N/A,N/A,N/A
(2^3D_2) ψ,4.223903564293054,N/A,N/A,N/A
(2^3D_3) ψ,4.217353851049813,N/A,N/A,N/A
(3^1D) η_c2,4.580900206199288,N/A,N/A,N/A
(3^3D_1) ψ,4.5699131443258745,N/A,N/A,N/A
(3^3D_2) ψ,4.585736210180595,N/A,N/A,N/A
(3^3D_3) ψ,4.582154658444102,N/A,N/A,N/A
