State,Calculated_GeV,Mass_Err_GeV,Exp_GeV,Abs_Err_MeV,Pct_Err,Pull_sigma,MSE_MeV2
(1^1S) B_c,6.274500004481959,0.018636965586350238,6.2745,4.4819596922707206e-06,7.143134420703994e-08,2.401421878978816e-07,2.0087962683139453e-11
(2^1S) B_c,6.871199994640247,0.009051641981403463,6.8712,-5.359752641709292e-06,7.800315289482612e-08,-5.885496350641333e-07,2.8726948380309738e-11
(3^1S) B_c,7.259263484992943,0.006735173324181394,N/A,N/A,N/A,N/A,N/A
(1^3S) B_c^*,6.34166272522402,0.014438421418093829,N/A,N/A,N/A,N/A,N/A
(2^3S) B_c^*,6.900753252200634,0.007819005783756532,N/A,N/A,N/A,N/A,N/A
(3^3S) B_c^*,7.280961068955849,0.005939644766843819,N/A,N/A,N/A,N/A,N/A
(1^1P) B_{c1},6.76317297682755,0.00709239867838095,N/A,N/A,N/A,N/A,N/A
(2^1P) B_{c1},7.1595436193205115,0.0053219535112703446,N/A,N/A,N/A,N/A,N/A
(3^1P) B_{c1},7.4866146406001635,0.004435298703549039,N/A,N/A,N/A,N/A,N/A
"(1^3P_0) B_{c0,1,2}^*",6.7008388072625,0.010645078499160892,N/A,N/A,N/A,N/A,N/A
"(2^3P_0) B_{c0,1,2}^*",7.102531031939337,0.00818783161826408,N/A,N/A,N/A,N/A,N/A
"(3^3P_0) B_{c0,1,2}^*",7.431813016458719,0.007006183319252746,N/A,N/A,N/A,N/A,N/A
"(1^3P_1) B_{c0,1,2}^*",6.759771242685073,0.007599699100479552,N/A,N/A,N/A,N/A,N/A
"(2^3P_1) B_{c0,1,2}^*",7.155442165081011,0.005742461440473617,N/A,N/A,N/A,N/A,N/A
"(3^3P_1) B_{c0,1,2}^*",7.482094059918055,0.004816702025165625,N/A,N/A,N/A,N/A,N/A
"(1^3P_2) B_{c0,1,2}^*",6.777680851226047,0.006077482460933254,N/A,N/A,N/A,N/A,N/A
"(2^3P_2) B_{c0,1,2}^*",7.173407009340447,0.004496473132371331,N/A,N/A,N/A,N/A,N/A
"(3^3P_2) B_{c0,1,2}^*",7.500287313837717,0.0036922797874383464,N/A,N/A,N/A,N/A,N/A
(1^1D) B_{c2},7.02658958796416,0.00498508421742615,N/A,N/A,N/A,N/A,N/A
(2^1D) B_{c2},7.365888283539691,0.004135017043966138,N/A,N/A,N/A,N/A,N/A
(3^1D) B_{c2},7.663437393288954,0.0036080980038376387,N/A,N/A,N/A,N/A,N/A
"(1^3D_1) B_{c1,2,3}^*",7.022037456685445,0.005791513827739473,N/A,N/A,N/A,N/A,N/A
"(2^3D_1) B_{c1,2,3}^*",7.359165933906647,0.004887290227033643,N/A,N/A,N/A,N/A,N/A
"(3^3D_1) B_{c1,2,3}^*",7.655429971570176,0.004328503337139481,N/A,N/A,N/A,N/A,N/A
"(1^3D_2) B_{c1,2,3}^*",7.029649232166267,0.005080820307375963,N/A,N/A,N/A,N/A,N/A
"(2^3D_2) B_{c1,2,3}^*",7.368057647481426,0.004227992621832374,N/A,N/A,N/A,N/A,N/A
"(3^3D_2) B_{c1,2,3}^*",7.665048899938232,0.0036987979165341474,N/A,N/A,N/A,N/A,N/A
"(1^3D_3) B_{c1,2,3}^*",7.026428263221529,0.004571088605883645,N/A,N/A,N/A,N/A,N/A
"(2^3D_3) B_{c1,2,3}^*",7.367219744852615,0.003746203124206607,N/A,N/A,N/A,N/A,N/A
"(3^3D_3) B_{c1,2,3}^*",7.66571806927609,0.0032345672090601653,N/A,N/A,N/A,N/A,N/A
