State,Calculated_GeV,Mass_Err_GeV,Exp_GeV,Abs_Err_MeV,Pct_Err,MSE_MeV2
(1^1S) η_b,9.427261333308167,0.0516600602729558,9.3987,28.56133330816668,0.3038859981504536,815.7497603401915
(2^1S) η_b,9.999347239063294,0.03968050910811517,9.999,0.3472390632932587,0.0034727379067232595,0.12057496707677973
(3^1S) η_b,10.349441751221985,0.0416591045106387,N/A,N/A,N/A,N/A
(1^3S) Υ_b,9.456194648950829,0.0491864018972031,9.4603,-4.105351049171091,0.0433955693706446,16.853907236930176
(2^3S) Υ,10.008291961319452,0.039483292080612915,10.0233,-15.008038680548452,0.1497315123816353,225.24122503683853
(3^3S) Υ,10.355298247342516,0.04161112424342266,10.3552,0.09824734251573375,0.0009487730079161556,0.009652540311403904
(1^1P) h_b,9.901049500398866,0.03721546325977016,9.8993,1.7495003988656777,0.0176729708046597,3.060751645631165
(2^1P) h_b,10.259687172164854,0.039419153596382685,10.2598,-0.11282783514587891,0.0010997079391984143,0.012730120383705627
(3^1P) h_b,10.550467201000558,0.04319419426518704,N/A,N/A,N/A,N/A
(1^3P_0) χ_b,9.85482997987708,0.03947215007085479,9.8594,-4.570020122921292,0.046351909070747634,20.885083923905544
(2^3P_0) χ_b,10.220148688923787,0.040225999973989936,10.2325,-12.351311076212568,0.1207066804418526,152.55488530137126
(3^3P_0) χ_b,10.513747195879773,0.04340668975654833,N/A,N/A,N/A,N/A
(1^3P_1) χ_b,9.898492501265133,0.03743651565320021,9.8928,5.692501265134098,0.05754186140560911,32.40457065355331
(2^3P_1) χ_b,10.25725118777229,0.03951976340626223,10.2555,1.7511877722906632,0.01707559623900018,3.0666586138203358
(3^3P_1) χ_b,10.548049422158968,0.04324275080905776,N/A,N/A,N/A,N/A
(1^3P_2) χ_b,9.911827603983463,0.03672062461470316,9.9122,-0.37239601653737964,0.0037569461525935677,0.13867879313290832
(2^3P_2) χ_b,10.269056459448606,0.0392541908237694,10.2687,0.35645944860540624,0.0034713201145754203,0.12706333850007026
(3^3P_2) χ_b,10.559261869329669,0.04316378148111867,N/A,N/A,N/A,N/A
(1^1D) η_b2,10.147365177768235,0.037525138818910474,N/A,N/A,N/A,N/A
(2^1D) η_b2,10.448439049291824,0.041202634129858785,N/A,N/A,N/A,N/A
(3^1D) η_b2,10.71055132579406,0.04537140006997467,N/A,N/A,N/A,N/A
(1^3D_1) Υ,10.139670219676121,0.03777219060649765,N/A,N/A,N/A,N/A
(2^3D_1) Υ,10.440575579779683,0.041301974292168996,N/A,N/A,N/A,N/A
(3^3D_1) Υ,10.70255660297678,0.04538232590185846,N/A,N/A,N/A,N/A
(1^3D_2) Υ,10.147953221848699,0.03757635787495016,10.1637,-15.746778151301655,0.1549315520066674,247.96102214631117
(2^3D_2) Υ,10.448786691253693,0.04124385471832407,N/A,N/A,N/A,N/A
(3^3D_2) Υ,10.710748711449597,0.04540501337074902,N/A,N/A,N/A,N/A
(1^3D_3) Υ,10.150261877124342,0.037391846945814135,N/A,N/A,N/A,N/A
(2^3D_3) Υ,10.451560791967124,0.041137855087233215,N/A,N/A,N/A,N/A
(3^3D_3) Υ,10.713836645818942,0.0453486824798699,N/A,N/A,N/A,N/A
