State,Observable_Type,Value_keV,Error_keV
(1^1S) η_b,Two-Photon Width (γγ),0.1788,0.0000
(2^1S) η_b,Two-Photon Width (γγ),0.0732,0.0000
(3^1S) η_b,Two-Photon Width (γγ),0.0534,0.0000
(1^3S) Υ_b,Leptonic Width (e+e-),1.6871,0.0000
(2^3S) Υ,Leptonic Width (e+e-),0.7350,0.0000
(3^3S) Υ,Leptonic Width (e+e-),0.5395,0.0000
(1^1P) h_b,Two-Photon Width (γγ),0.0000,0.0000
(2^1P) h_b,Two-Photon Width (γγ),0.0000,0.0000
(3^1P) h_b,Two-Photon Width (γγ),0.0000,0.0000
(1^3P_0) χ_b,Leptonic Width (e+e-),0.0000,0.0000
(2^3P_0) χ_b,Leptonic Width (e+e-),0.0000,0.0000
(3^3P_0) χ_b,Leptonic Width (e+e-),0.0000,0.0000
(1^3P_1) χ_b,Leptonic Width (e+e-),0.0000,0.0000
(2^3P_1) χ_b,Leptonic Width (e+e-),0.0000,0.0000
(3^3P_1) χ_b,Leptonic Width (e+e-),0.0000,0.0000
(1^3P_2) χ_b,Leptonic Width (e+e-),0.0000,0.0000
(2^3P_2) χ_b,Leptonic Width (e+e-),0.0000,0.0000
(3^3P_2) χ_b,Leptonic Width (e+e-),0.0000,0.0000
(1^1D) η_b2,Two-Photon Width (γγ),0.0000,0.0000
(2^1D) η_b2,Two-Photon Width (γγ),0.0000,0.0000
(3^1D) η_b2,Two-Photon Width (γγ),0.0000,0.0000
(1^3D_1) Υ,Leptonic Width (e+e-),0.0000,0.0000
(2^3D_1) Υ,Leptonic Width (e+e-),0.0000,0.0000
(3^3D_1) Υ,Leptonic Width (e+e-),0.0000,0.0000
(1^3D_2) Υ,Leptonic Width (e+e-),0.0000,0.0000
(2^3D_2) Υ,Leptonic Width (e+e-),0.0000,0.0000
(3^3D_2) Υ,Leptonic Width (e+e-),0.0000,0.0000
(1^3D_3) Υ,Leptonic Width (e+e-),0.0000,0.0000
(2^3D_3) Υ,Leptonic Width (e+e-),0.0000,0.0000
(3^3D_3) Υ,Leptonic Width (e+e-),0.0000,0.0000
