State,Observable_Type,Value_keV
(1^1S) η_c,Two-Photon Width (γγ),4.0198
(2^1S) η_c,Two-Photon Width (γγ),1.2477
(3^1S) η_c,Two-Photon Width (γγ),0.8038
(1^3S) J/ψ,Leptonic Width (e+e-),6.2236
(2^3S) ψ,Leptonic Width (e+e-),2.3665
(3^3S) ψ,Leptonic Width (e+e-),1.5563
(1^1P) h_c,Two-Photon Width (γγ),0.0000
(2^1P) h_c,Two-Photon Width (γγ),0.0000
(3^1P) h_c,Two-Photon Width (γγ),0.0000
(1^3P_0) χ_c,Leptonic Width (e+e-),0.0000
(2^3P_0) χ_c,Leptonic Width (e+e-),0.0000
(3^3P_0) χ_c,Leptonic Width (e+e-),0.0000
(1^3P_1) χ_c,Leptonic Width (e+e-),0.0000
(2^3P_1) χ_c,Leptonic Width (e+e-),0.0000
(3^3P_1) χ_c,Leptonic Width (e+e-),0.0000
(1^3P_2) χ_c,Leptonic Width (e+e-),0.0000
(2^3P_2) χ_c,Leptonic Width (e+e-),0.0000
(3^3P_2) χ_c,Leptonic Width (e+e-),0.0000
(1^1D) η_c2,Two-Photon Width (γγ),0.0000
(2^1D) η_c2,Two-Photon Width (γγ),0.0000
(3^1D) η_c2,Two-Photon Width (γγ),0.0000
(1^3D_1) ψ,Leptonic Width (e+e-),0.0000
(2^3D_1) ψ,Leptonic Width (e+e-),0.0000
(3^3D_1) ψ,Leptonic Width (e+e-),0.0000
(1^3D_2) ψ,Leptonic Width (e+e-),0.0000
(2^3D_2) ψ,Leptonic Width (e+e-),0.0000
(3^3D_2) ψ,Leptonic Width (e+e-),0.0000
(1^3D_3) ψ,Leptonic Width (e+e-),0.0000
(2^3D_3) ψ,Leptonic Width (e+e-),0.0000
(3^3D_3) ψ,Leptonic Width (e+e-),0.0000
